,genre_sequence,unique_genres
1188,alternative,None
1189,alternative,None
1190,alternative,None
1191,alternative rock,None
1192,alternative rock,None
1193,alternative rock,None
1194,alternative rock,None
1195,alternative rock,None
1196,alternative rock,None
1197,trip-hop,None
1198,trip-hop,None
1199,trip-hop,None
1200,trip-hop,None
1201,trip-hop,None
1202,trip-hop,None
1203,dream pop,None
1204,dream pop,None
1205,dream pop,None
1206,Lara-Loved,None
1207,Lara-Loved,None
1208,Lara-Loved,None
1209,Lara-Loved,None
1210,Lara-Loved,None
1211,Lara-Loved,None
1212,Lara-Loved,None
1213,Lara-Loved,None
1214,Lara-Loved,None
1215,trip-hop,None
1216,trip-hop,None
1217,trip-hop,None
1218,trip-hop,None
1219,trip-hop,None
1220,trip-hop,None
1221,anime,None
1222,anime,None
1223,anime,None
1224,anime,None
1225,anime,None
1226,anime,None
1227,Soundtrack,None
1228,Soundtrack,None
1229,Soundtrack,None
1230,alternative rock,None
1231,alternative rock,None
1232,alternative rock,None
1233,alternative rock,None
1234,alternative rock,None
1235,alternative rock,None
1236,alternative rock,None
1237,alternative rock,None
1238,alternative rock,None
1239,alternative,None
1240,alternative,None
1241,alternative,None
1242,alternative,None
1243,alternative,None
1244,alternative,None
1245,alternative,None
1246,alternative,None
1247,alternative,None
1248,anime,None
1249,title track,None
1250,japanese,None
1251,alternative rock,None
1252,alternative rock,None
1253,alternative rock,None
1254,indie rock,None
1255,indie rock,None
1256,indie rock,None
1257,electronic,None
1258,electronic,None
1259,electronic,None
1260,alternative rock,None
1261,alternative rock,None
1262,alternative rock,None
1263,trip-hop,None
1264,trip-hop,None
1265,trip-hop,None
1266,rock,None
1267,rock,None
1268,rock,None
1269,rock,None
1270,rock,None
1271,rock,None
1272,pop,None
1273,pop,None
1274,pop,None
1275,indie,None
1276,indie,None
1277,indie,None
1278,indie,None
1279,indie,None
1280,indie,None
1281,rock,None
1282,rock,None
1283,rock,None
1284,J-rock,None
1285,J-rock,None
1286,J-rock,None
1287,J-rock,None
1288,J-rock,None
1289,J-rock,None
1290,J-rock,None
1291,J-rock,None
1292,J-rock,None
1293,J-rock,None
1294,J-rock,None
1295,J-rock,None
1296,J-rock,None
1297,J-rock,None
1298,J-rock,None
1299,J-rock,None
1300,J-rock,None
1301,J-rock,None
1302,J-rock,None
1303,J-rock,None
1304,J-rock,None
1305,J-rock,None
1306,J-rock,None
1307,J-rock,None
1308,J-rock,None
1309,J-rock,None
1310,J-rock,None
1311,J-rock,None
1312,J-rock,None
1313,J-rock,None
1314,J-rock,None
1315,J-rock,None
1316,J-rock,None
1317,J-rock,None
1318,J-rock,None
1319,J-rock,None
1320,J-rock,None
1321,J-rock,None
1322,indie rock,None
1323,indie rock,None
1324,indie rock,None
1325,ambient,None
1326,ambient,None
1327,ambient,None
1328,female vocalists,None
1329,female vocalists,None
1330,female vocalists,None
1331,indie rock,None
1332,indie rock,None
1333,indie rock,None
1334,dream pop,None
1335,dream pop,None
1336,dream pop,None
1337,dream pop,None
1338,dream pop,None
1339,dream pop,None
1340,dream pop,None
1341,dream pop,None
1342,indie,None
1343,indie,None
1344,indie,None
1345,indie,None
1346,indie,None
1347,indie,None
1348,indie,None
1349,indie,None
1350,indie,None
1351,Alucinante,None
1352,Alucinante,None
1353,Alucinante,None
1354,Alucinante,None
1355,Alucinante,None
1356,Alucinante,None
1357,indie,None
1358,indie,None
1359,indie,None
1360,indie,None
1361,indie,None
1362,indie,None
1363,indie,None
1364,indie,None
1365,indie,None
1366,indie,None
1367,indie,None
1368,indie,None
1369,indie,None
1370,indie,None
1371,indie,None
1372,indie,None
1373,indie,None
1374,indie,None
1375,indie,None
1376,indie,None
1377,indie,None
1378,mainplaylist,None
1379,mainplaylist,None
1380,mainplaylist,None
1381,Soundtrack,None
1382,Soundtrack,None
1383,Soundtrack,None
1384,Soundtrack,None
1385,Soundtrack,None
1386,alternative,None
1387,alternative,None
1388,alternative,None
1389,alternative,None
1390,alternative,None
1391,alternative,None
1392,alternative,None
1393,alternative,None
1394,alternative,None
1395,alternative,None
1396,alternative,None
1397,alternative,None
1398,alternative rock,None
1399,alternative rock,None
1400,alternative rock,None
1401,alternative rock,None
1402,alternative rock,None
1403,alternative rock,None
1404,dream pop,None
1405,dream pop,None
1406,dream pop,None
1407,alternative,None
1408,alternative,None
1409,alternative,None
1410,alternative,None
1411,alternative,None
1412,alternative,None
1413,alternative rock,None
1414,alternative rock,None
1415,alternative rock,None
1416,female vocalists,None
1417,female vocalists,None
1418,female vocalists,None
1419,female vocalists,None
1420,female vocalists,None
1421,alternative,None
1422,alternative,None
1423,alternative,None
1424,alternative,None
1425,alternative,None
1426,alternative,None
1427,indie,None
1428,indie,None
1429,indie,None
1430,rock,None
1431,rock,None
1432,rock,None
1433,rock,None
1434,rock,None
1435,rock,None
1436,electronic,None
1437,electronic,None
1438,electronic,None
1439,Soundtrack,None
1440,Soundtrack,None
1441,Soundtrack,None
1442,Soundtrack,None
1443,Soundtrack,None
1444,Soundtrack,None
1445,dream pop,None
1446,dream pop,None
1447,dream pop,None
1448,dream pop,None
1449,dream pop,None
1450,dream pop,None
1451,instrumental,None
1452,instrumental,None
1453,instrumental,None
1454,anime,None
1455,anime,None
1456,anime,None
1457,dream pop,None
1458,dream pop,None
1459,dream pop,None
1460,names of people,None
1461,names of people,None
1462,names of people,None
1463,names of people,None
1464,names of people,None
1465,names of people,None
1466,instrumental,None
1467,instrumental,None
1468,instrumental,None
1469,instrumental,None
1470,instrumental,None
1471,instrumental,None
1472,indie,None
1473,indie,None
1474,indie,None
1475,rock,None
1476,rock,None
1477,rock,None
1478,rock,None
1479,rock,None
1480,rock,None
1481,rock,None
1482,rock,None
1483,rock,None
1484,rock,None
1485,rock,None
1486,rock,None
1487,rock,None
1488,rock,None
1489,rock,None
1490,Soundtrack,None
1491,Soundtrack,None
1492,Soundtrack,None
1493,Soundtrack,None
1494,Soundtrack,None
1495,Soundtrack,None
1496,Soundtrack,None
1497,Soundtrack,None
1498,Soundtrack,None
1499,Soundtrack,None
1500,Soundtrack,None
1501,Soundtrack,None
1502,trip-hop,None
1503,trip-hop,None
1504,trip-hop,None
1505,trip-hop,None
1506,trip-hop,None
1507,alternative rock,None
1508,alternative rock,None
1509,alternative rock,None
1510,alternative rock,None
1511,alternative rock,None
1512,alternative rock,None
1513,alternative rock,None
1514,alternative rock,None
1515,alternative rock,None
1516,alternative rock,None
