,genre_sequence,unique_genres
884,indie,None
885,indie,None
886,electronic,None
887,electronic,None
888,instrumental,None
889,indie,None
890,folk,None
891,folk,None
892,indie,None
893,alternative,None
894,Soundtrack,None
895,dream pop,None
896,dream pop,None
897,dream pop,None
898,classic rock,None
899,classic rock,None
900,classic rock,None
901,classic rock,None
902,classic rock,None
903,folk,None
904,singer-songwriter,None
905,folk,None
906,folk,None
907,pop,None
908,pop,None
909,pop,None
910,dream pop,None
911,Soundtrack,None
912,folk,None
913,folk,None
914,Soundtrack,None
915,dream pop,None
916,alternative,None
917,indie,None
918,classic rock,None
919,Soundtrack,None
920,folk,None
921,indie,None
922,favorites,None
923,Love,None
924,singer-songwriter,None
925,singer-songwriter,None
926,singer-songwriter,None
927,dream pop,None
928,indie,None
929,Hip-Hop,None
930,pop,None
931,pop,None
932,pop,None
933,indie,None
934,pop,None
935,folk,None
936,Hip-Hop,None
937,alternative,None
938,folk,None
939,folk,None
940,folk,None
941,indie,None
942,best of 2012,None
943,jazz,None
944,folk,None
945,indie,None
946,folk,None
947,folk,None
948,folk,None
949,electropop,None
950,best of 2010-lo mejor de 2010,None
951,covers,None
952,covers,None
953,folk,None
954,folk,None
955,lizvelrene2010,None
956,folk,None
957,folk,None
958,folk,None
959,folk,None
960,vugube62,None
961,Hip-Hop,None
962,indie,None
963,Hip-Hop,None
964,electrosexy,None
965,vugube62,None
966,electronic,None
967,electronic,None
968,fun,None
969,indie,None
970,chillout,None
971,indie,None
972,2008,None
973,electro,None
974,BIRP,None
975,Love,None
976,indie,None
977,electronic,None
978,indie,None
979,indie,None
980,chillout,None
981,electronic,None
982,80s,None
983,pop,None
984,pop,None
985,pop,None
986,pop,None
987,vugube62,None
988,indie,None
989,rock,None
990,indie,None
991,indie,None
992,indie,None
993,indie rock,None
994,indie rock,None
995,indie,None
996,rock,None
997,chillwave,None
998,BIRP,None
999,dream pop,None
1000,1Live Fiehe,None
1001,indie rock,None
1002,best of 2012,None
1003,indie,None
1004,kick your ass,None
1005,somafm,None
1006,double-ender 16,None
1007,Soundtrack,None
1008,dream pop,None
1009,dream pop,None
1010,ambient,None
1011,dream pop,None
1012,indie,None
1013,indie,None
1014,indie,None
1015,folk,None
1016,indie,None
1017,indie,None
1018,indie pop,None
1019,indie,None
1020,indie,None
1021,indie,None
1022,indie,None
1023,ambient,None
1024,electronic,None
1025,electronic,None
1026,folk,None
1027,dream pop,None
1028,indie,None
1029,kick your ass,None
1030,somafm,None
1031,indie rock,None
1032,1Live Fiehe,None
1033,indie rock,None
1034,best of 2012,None
1035,indie,None
1036,singer-songwriter,None
1037,indie rock,None
1038,indie,None
1039,Hip-Hop,None
1040,indie,None
1041,dream pop,None
1042,Soundtrack,None
1043,dream pop,None
1044,Soundtrack,None
1045,Love,None
1046,alternative,None
1047,pop,None
1048,dream pop,None
1049,dream pop,None
1050,dream pop,None
1051,ambient,None
1052,dream pop,None
1053,dream pop,None
1054,indie,None
1055,indie,None
1056,indie,None
1057,indie,None
1058,indie,None
1059,indie,None
1060,indie,None
1061,indie,None
1062,indie rock,None
1063,indie,None
1064,indie rock,None
1065,indie,None
1066,folk,None
1067,Soundtrack,None
1068,folk,None
1069,folk,None
1070,folk,None
1071,indie,None
1072,dream pop,None
1073,pop,None
1074,electro,None
1075,dream pop,None
1076,dream pop,None
1077,folk,None
1078,chillout,None
1079,chillout,None
1080,indie rock,None
1081,dream pop,None
1082,mental,None
1083,indietronica,None
1084,indie rock,None
1085,pop,None
1086,psychedelic,None
1087,ambient,None
1088,somafm,None
1089,electronic,None
1090,alternative,None
1091,alternative,None
1092,Soundtrack,None
1093,jazz,None
1094,Soundtrack,None
1095,singer-songwriter,None
1096,singer-songwriter,None
1097,singer-songwriter,None
1098,vugube62,None
1099,indie,None
1100,folk,None
1101,indie,None
1102,indie,None
1103,folk,None
1104,folk,None
1105,folk,None
1106,psychedelic,None
1107,indie,None
1108,rock,None
1109,rock,None
1110,indie,None
1111,indie rock,None
1112,1Live Fiehe,None
1113,indie rock,None
1114,Hip-Hop,None
1115,dream pop,None
1116,dream pop,None
1117,ambient,None
1118,dream pop,None
1119,80s,None
1120,indie pop,None
1121,indie rock,None
1122,best of 2012,None
1123,indie,None
1124,kick your ass,None
1125,somafm,None
1126,folk,None
1127,electronica,None
1128,beautiful,None
1129,rock,None
1130,rock,None
1131,indie,None
1132,indie rock,None
1133,best of 2012,None
1134,indie,None
1135,lizvelrene2010,None
1136,experimental,None
1137,dream pop,None
1138,dream pop,None
1139,dream pop,None
1140,ambient,None
1141,dream pop,None
1142,dream pop,None
1143,electronic,None
1144,beautiful,None
1145,ambient,None
1146,indie pop,None
1147,electropop,None
1148,folk,None
1149,80s,None
1150,indie pop,None
1151,indie,None
1152,rock,None
1153,rock,None
1154,rock,None
1155,rock,None
1156,indie,None
1157,indie,None
1158,indie,None
1159,indie,None
1160,pop,None
1161,BIRP,None
1162,electronic,None
1163,funk,None
1164,indie,None
1165,electronic,None
1166,indie,None
1167,classic rock,None
1168,chillwave,None
1169,electronic,None
1170,chillwave,None
1171,pop,None
1172,folk,None
1173,singer-songwriter,None
1174,singer-songwriter,None
1175,singer-songwriter,None
1176,rock,None
1177,singer-songwriter,None
1178,singer-songwriter,None
1179,singer-songwriter,None
1180,singer-songwriter,None
1181,rock,None
1182,singer-songwriter,None
1183,dream pop,None
1184,dream pop,None
1185,dream pop,None
1186,dream pop,None
1187,dream pop,None
1188,dream pop,None
1189,dream pop,None
1190,dream pop,None
1191,pop,None
1192,electronic,None
1193,synthpop,None
1194,ambient,None
1195,electronic,None
1196,indie,None
1197,indie,None
1198,summer,None
1199,electro,None
1200,electro,None
1201,electro,None
1202,indie,None
1203,electronic,None
1204,indie,None
1205,indie,None
1206,chillout,None
1207,rock,None
1208,indie,None
1209,experimental,None
1210,chillout,None
1211,ambient,None
1212,indie,None
1213,psychedelic,None
1214,indie,None
1215,indie,None
1216,experimental,None
1217,indie,None
1218,indie,None
1219,indie rock,None
1220,indie pop,None
1221,indie pop,None
1222,electronic,None
1223,ambient,None
1224,instrumental,None
1225,electronic,None
1226,electronic,None
1227,chillout,None
1228,chillout,None
1229,ambient,None
1230,electronic,None
1231,electronic,None
1232,funk,None
1233,funk,None
1234,beautiful,None
1235,funk,None
1236,ambient,None
1237,Lo-Fi,None
1238,electronic,None
1239,indie,None
1240,electronic,None
1241,synthpop,None
1242,if this song were a girl i would fuck her or at least touch her tits,None
1243,indie,None
1244,End Credits,None
1245,End Credits,None
1246,my secret agent lover man,None
1247,discover,None
1248,BIRP,None
1249,indie,None
1250,singer-songwriter,None
1251,funk,None
1252,synthpop,None
1253,BIRP,None
1254,ambient,None
1255,chillout,None
1256,electronic,None
1257,indie,None
1258,pop,None
1259,pop,None
1260,rock,None
1261,80s,None
1262,classic rock,None
1263,classic rock,None
1264,80s,None
1265,classic rock,None
1266,alternative rock,None
1267,indie rock,None
1268,Hip-Hop,None
1269,indie,None
1270,indie pop,None
1271,indie,None
1272,shoegaze,None
1273,Lo-Fi,None
1274,dream pop,None
1275,instrumental,None
1276,chillout,None
1277,synthpop,None
1278,dream pop,None
1279,indie rock,None
1280,pop,None
1281,dream pop,None
1282,indie,None
1283,ambient,None
1284,chillout,None
1285,indie rock,None
1286,indie rock,None
1287,indie rock,None
1288,indie,None
1289,pop,None
1290,pop,None
1291,indie,None
1292,electronic,None
1293,pop,None
1294,experimental,None
1295,Lo-Fi,None
1296,indie,None
1297,indie,None
1298,BIRP,None
1299,cover,None
1300,Hip-Hop,None
1301,Love,None
1302,pop,None
1303,80s,None
1304,pop,None
1305,pop,None
1306,pop,None
1307,indie,None
1308,electronic,None
1309,electronic,None
1310,Hip-Hop,None
1311,80s,None
1312,electronic,None
1313,electronic,None
1314,indie,None
1315,electronic,None
1316,pop,None
1317,electronic,None
1318,ambient,None
1319,chillout,None
1320,chillout,None
1321,electronic,None
