,genre_sequence,unique_genres
624,rock,None
625,rock,None
626,emo,None
627,indie,None
628,indie,None
629,emo,None
630,emo,None
631,emo,None
632,emo,None
633,post-rock,None
634,emo,None
635,emo,None
636,emo,None
637,indie,None
638,2015,None
639,indie,None
640,rock,None
641,british,None
642,pop,None
643,british,None
644,rock,None
645,indie,None
646,indie,None
647,post-rock,None
648,emo,None
649,indie,None
650,love at first listen,None
651,indie,None
652,british,None
653,indie,None
654,british,None
655,pop,None
656,love at first listen,None
657,love at first listen,None
658,rock,None
659,rock,None
660,rock,None
661,pop,None
662,love at first listen,None
663,Alternative Folk,None
664,folk,None
665,love at first listen,None
666,love at first listen,None
667,pop,None
668,dance,None
669,pop,None
670,lu,None
671,indie pop,None
672,indie,None
673,indie,None
674,pop,None
675,pop,None
676,classic rock,None
677,classic rock,None
678,love at first listen,None
679,indie pop,None
680,electronic,None
681,pop,None
682,pop,None
683,trap,None
684,pop,None
685,indie,None
686,indie pop,None
687,rock,None
688,indie,None
689,2015,None
690,indie,None
691,title track,None
692,indie pop,None
693,indie pop,None
694,rock,None
695,rock,None
696,rock,None
697,classic rock,None
698,classic rock,None
699,rock,None
700,classic rock,None
701,classic rock,None
702,classic rock,None
703,classic rock,None
704,rock,None
705,rock,None
706,rock,None
707,synthpop,None
708,Hip-Hop,None
709,rock,None
710,rock,None
711,rock,None
712,rock,None
713,rock,None
714,rock,None
715,rock,None
716,rock,None
717,indie,None
718,indie,None
719,indie,None
720,indie,None
721,indie,None
722,mixtape for next person i fall in love with,None
723,indie,None
724,indie,None
725,indie,None
726,indie,None
727,indie,None
728,indie,None
729,indie,None
730,Hip-Hop,None
731,instrumental,None
732,post-rock,None
733,post-rock,None
734,emo,None
735,post-rock,None
736,emo,None
737,Hip-Hop,None
738,indie,None
739,indie,None
740,indie,None
741,indie,None
742,indie,None
743,Hip-Hop,None
744,Hip-Hop,None
745,indie,None
746,indie pop,None
747,electronica,None
748,indie,None
749,2015,None
750,synthpop,None
751,mixtape for next person i fall in love with,None
752,alternative,None
753,rock,None
754,rock,None
755,post-hardcore,None
756,mixtape for next person i fall in love with,None
757,midnight,None
758,Grunge,None
759,Grunge,None
760,Grunge,None
761,Grunge,None
762,indie,None
763,like2009-2014,None
764,indie,None
765,electronic,None
766,indie,None
767,emo,None
768,emo,None
769,emo,None
770,emo,None
771,emo,None
772,2015,None
773,90s,None
774,Nu Metal,None
775,Grunge,None
776,alternative rock,None
777,1994,None
778,Grunge,None
779,rock,None
780,post-rock,None
781,90s,None
782,metal,None
783,alternative rock,None
784,90s,None
785,rock,None
786,classic rock,None
787,classic rock,None
788,rock,None
789,Grunge,None
790,pop,None
791,alternative,None
792,alternative,None
793,rock,None
794,indie,None
795,mixtape for next person i fall in love with,None
796,indie,None
797,indie,None
798,indie,None
799,indie,None
800,indie,None
801,indie,None
802,indie,None
803,indie,None
804,electronica,None
805,indie,None
806,2015,None
807,synthpop,None
808,indie,None
809,2015,None
810,synthpop,None
811,indie,None
812,midnight,None
813,cover,None
814,life is strange,None
815,somafm,None
816,electronic,None
817,indie,None
818,synthpop,None
819,love at first listen,None
820,mixtape for next person i fall in love with,None
821,mixtape for next person i fall in love with,None
822,pop,None
823,pop,None
824,electronic,None
825,pop,None
826,soul,None
827,love at first listen,None
828,pop,None
829,midnight,None
830,midnight,None
831,alternative,None
832,mixtape for next person i fall in love with,None
833,midnight,None
834,midnight,None
835,mixtape for next person i fall in love with,None
836,midnight,None
837,mixtape for next person i fall in love with,None
838,2015,None
839,electronic,None
840,alternative,None
841,sxsw 2016,None
842,midnight,None
843,electronic,None
844,pop,None
845,indie,None
846,rock,None
847,sxsw 2016,None
848,midnight,None
849,shoegaze,None
850,indie,None
851,acoustic,None
852,female vocalists,None
853,electronic,None
854,indie,None
855,bottom of a bottle,None
856,2013,None
857,indie,None
858,pop,None
859,electronic,None
860,dance,None
861,indie,None
862,2015,None
863,alternative,None
864,electronic,None
865,mixtape for next person i fall in love with,None
866,midnight,None
867,midnight,None
868,midnight,None
869,midnight,None
870,rock,None
871,indie pop,None
872,2015,None
873,electronica,None
874,indie,None
875,indie,None
876,indie pop,None
877,electronica,None
878,indie,None
879,handclaps,None
880,post-rock,None
881,fip,None
882,says the n word,None
883,indie,None
884,rock,None
885,pop punk,None
886,indie,None
887,folk,None
888,indie pop,None
889,alternative,None
890,freja,None
891,indie,None
892,rock,None
893,songs,None
894,female vocalists,None
895,electropop,None
896,electronic,None
897,folk,None
898,indie,None
899,emo,None
900,indie,None
901,electronic,None
902,folk,None
903,acoustic,None
904,beautiful,None
905,indie,None
906,2015,None
907,soul,None
908,cover,None
909,indie,None
910,indie,None
911,indie,None
912,indie,None
913,indie,None
914,indie,None
915,indie,None
916,indie,None
917,indie,None
918,indie,None
919,indie,None
920,indie,None
921,indie,None
922,post-rock,None
923,instrumental,None
924,3 stars,None
925,3 stars,None
926,blues rock,None
927,love at first listen,None
928,indie,None
929,3 stars,None
930,4 Stars,None
931,electronic,None
932,electronic,None
933,synthpop,None
934,synthpop,None
935,electronic,None
936,electronic,None
937,synthpop,None
938,synthpop,None
939,electronic,None
940,synthpop,None
941,synthpop,None
942,2015,None
943,electronica,None
944,indie,None
945,indie,None
946,electronica,None
947,indie,None
948,2015,None
949,synthpop,None
950,post-rock,None
951,instrumental,None
952,post-rock,None
953,indie,None
954,indie pop,None
955,electronica,None
956,indie,None
957,2015,None
958,synthpop,None
959,indie pop,None
960,2015,None
961,electronica,None
962,indie,None
963,indie,None
964,indie pop,None
965,electronica,None
966,indie,None
967,2015,None
968,synthpop,None
969,post-rock,None
970,blues rock,None
971,3 stars,None
972,indie,None
973,love at first listen,None
974,3 stars,None
975,3 stars,None
976,4 Stars,None
977,alternative rock,None
978,indie,None
979,indie pop,None
980,numbers,None
981,electronic,None
982,electronic,None
983,synthpop,None
984,indie,None
985,2015,None
986,synthpop,None
987,indie,None
988,indie,None
989,indie pop,None
990,2015,None
991,electronica,None
992,indie,None
993,indie,None
994,indie pop,None
995,electronica,None
996,indie,None
997,2015,None
998,synthpop,None
999,instrumental,None
1000,folk,None
1001,shoegaze,None
1002,emo,None
1003,alternative,None
1004,indie pop,None
1005,what a voice,None
1006,indie,None
1007,love at first listen,None
1008,indie,None
1009,indie pop,None
1010,numbers,None
1011,indie,None
1012,british,None
1013,indie,None
